Date,Count,Point
2012-08-01,251,Сыктывкар-1
2012-08-01,23,Ухта-1
2012-08-01,15,Сыктывкар-2
2012-08-02,16,Сыктывкар-2
2012-08-02,246,Сыктывкар-1
2012-08-02,43,Ухта-1
2012-08-03,50,Ухта-1
2012-08-03,300,Сыктывкар-1
2012-08-03,23,Сыктывкар-2
2012-08-04,54,Ухта-1
2012-08-04,28,Сыктывкар-2
2012-08-04,256,Сыктывкар-1
2012-08-05,262,Сыктывкар-1
2012-08-05,17,Сыктывкар-2
2012-08-05,44,Ухта-1
2012-08-06,280,Сыктывкар-1
2012-08-06,26,Сыктывкар-2
2012-08-06,38,Ухта-1
2012-08-07,21,Сыктывкар-2
2012-08-07,219,Сыктывкар-1
2012-08-07,49,Ухта-1
2012-08-08,18,Сыктывкар-2
2012-08-08,41,Ухта-1
2012-08-08,275,Сыктывкар-1
2012-08-09,276,Сыктывкар-1
2012-08-09,12,Сыктывкар-2
2012-08-09,62,Ухта-1
2012-08-10,39,Сыктывкар-2
2012-08-10,359,Сыктывкар-1
2012-08-10,107,Ухта-1
2012-08-11,42,Сыктывкар-2
2012-08-11,87,Ухта-1
2012-08-11,301,Сыктывкар-1
2012-08-12,45,Сыктывкар-2
2012-08-12,299,Сыктывкар-1
2012-08-12,89,Ухта-1
2012-08-13,72,Ухта-1
2012-08-13,28,Сыктывкар-2
2012-08-13,260,Сыктывкар-1
2012-08-14,74,Ухта-1
2012-08-14,257,Сыктывкар-1
2012-08-14,29,Сыктывкар-2
2012-08-15,85,Ухта-1
2012-08-15,24,Сыктывкар-2
2012-08-15,268,Сыктывкар-1
2012-08-16,273,Сыктывкар-1
2012-08-16,74,Ухта-1
2012-08-16,26,Сыктывкар-2
2012-08-17,128,Ухта-1
2012-08-17,322,Сыктывкар-1
2012-08-17,39,Сыктывкар-2
2012-08-18,34,Сыктывкар-2
2012-08-18,329,Сыктывкар-1
2012-08-18,87,Ухта-1
2012-08-19,69,Ухта-1
2012-08-19,22,Сыктывкар-2
2012-08-19,293,Сыктывкар-1
2012-08-20,269,Сыктывкар-1
2012-08-20,23,Сыктывкар-2
2012-08-20,72,Ухта-1
2012-08-21,265,Сыктывкар-1
2012-08-21,65,Ухта-1
2012-08-21,27,Сыктывкар-2
2012-08-22,27,Сыктывкар-2
2012-08-22,70,Ухта-1
2012-08-22,266,Сыктывкар-1
2012-08-23,294,Сыктывкар-1
