LFnext7,LFnext30,LFprev7,LFprev30
150.216194184,80.46875,62.9299260005,55.6678180291
52.2979240473,27.06640625,1.0,20.9172613184
298.147694212,317.25,581.180351314,277.94871212
123.537545309,77.96875,86.4035337497,64.1236399784
146.044121684,23.345703125,1.0,19.1987167663
292.452429237,283.28515625,266.673356242,269.580705359
53.128585237,66.73828125,7.13377287979,69.10279767
109.990917769,23.5625,1.0,17.4938822846
244.939762107,250.5,520.469734143,254.571801575
1.0,26.5703125,13.9447123555,12.0208024092
1474.75554338,51.390625,1.0,66.9745148735
330.64106434,244.875,142.048649106,244.123082969
1.0,53.21875,60.0644413153,69.7656319476
31.7261906507,24.3671875,10.0547727769,18.0816291177
265.10044558,244.02734375,259.861474004,255.510893915
1.0,61.4375,89.6504037194,78.5710043349
252.223349054,234.25,274.293838792,270.773734853
16.0690199872,19.525390625,33.5601696879,21.1102746439
85.4580360475,106.451171875,69.319380833,91.1369474489
9.68391091536,27.3671875,37.9263934597,34.5771748809
279.029230746,339.7578125,297.04275546,322.113298014
90.3323540103,100.5625,70.173447265,101.368466654
11.94422508,31.0888671875,41.7791411934,40.9034164772
291.760155676,364.59375,305.691430738,303.415703841
94.3715807629,105.78125,71.9771297126,97.0178341212
214.33566151,326.9375,298.613225377,278.788916257
103.100880422,27.3818359375,17.6853754699,29.9833958661
267.811772376,247.09375,262.084077713,272.208348827
81.4698445338,75.6875,76.0724967829,103.655890315
16.1167749582,25.18359375,23.2194046495,30.3774816494
32.8377373789,23.9375,21.2287539522,31.3243478395
64.8845764228,73.0625,43.7760529022,83.2491203228
301.615060676,232.6875,256.557060644,275.726274486
33.3208341521,22.625,24.7672005885,25.9677188459
61.9270478885,72.46875,89.6637986753,83.4654548374
295.846701524,235.5,265.897115098,280.07500346
26.0184347053,19.08203125,25.8481181821,24.5328514073
18.5694274027,93.1640625,152.089560554,97.6387154491
226.166391627,239.75,271.14901626,291.307591891
80.424669408,153.875,9.26022280755,118.999904515
29.9121017132,37.1059570312,49.5002280554,40.1075083933
331.091421981,370.625,352.342298114,334.315081757
317.178605373,382.96875,320.08510544,304.840244953
84.3081841487,142.5,116.607912308,108.752513886
36.563131599,43.0546875,24.5769842042,38.4021519784
39.2655325718,35.033203125,35.618018687,28.1463751368
157.008691382,146.15625,131.018775899,108.275447881
356.413610135,367.4375,297.162754278,288.299886806
27.7310614572,33.8056640625,36.6882832005,30.3987712611
276.170832041,282.9375,269.399293634,279.044209305
113.487445376,127.28125,59.6993096072,99.613259486
34.739706204,28.833984375,23.0111607664,33.2128954292
297.875679728,266.25,264.813724328,279.63620139
111.420099371,117.017578125,69.0834818837,88.1573224866
90.8703556695,36.0234375,,
29.3831144357,27.76953125,28.4464564031,28.6762391607
166.751536204,114.875,100.850443899,86.875
324.107931223,275.5,227.493788936,282.25390625
17.9430849707,23.6015625,,
44.3495099183,31.8125,29.0883658604,25.6537480318
77.3759406223,49.625,,
400.355446963,315.490831702,198.526845515,287.49609375
113.340085822,125.140625,71.7626807469,95.5442544305
583.033655447,328.693590687,401.448992854,336.02734375
178.325996468,122.887406614,47.5521419619,131.35559082
27.6851886527,28.1869075915,26.2976658992,40.158203125
112.14119516,78.2791117195,3.0,3.0
143.600608055,382.78125,209.290883385,89618696730.5
22.7145007332,126.666015625,168.775712555,2.17411743486e+12
63.0482968904,84.5234375,66.5386038739,66.5386038739
35.1399369785,33.78125,20.4486090361,1.0
9.02582394239,23.15625,31.9666471148,1.0
171.284209949,104.609375,30.8531820354,5469069330.39
107.242385043,77.1875,61.9233688528,61.9233688528
797.660722014,306.25,442.492138122,1.0
15.0610839813,22.78125,3.40805760691,12.515625
56.9933145104,78.0,100.642685017,104.890616669
274.04200257,215.7578125,173.014024853,201.109375
49.86870129,58.0,1.0,1.0
10.628176734,16.82421875,11.2889695667,10.68359375
266.241035106,225.390625,202.780837043,191.5625
66.5481523206,74.0,53.7331959038,60.3674894885
45.6538878726,66.5576171875,42.9093438826,42.9093438826
66.7534438355,65.046875,47.6573905355,60.8172063517
22.6436121604,14.890625,11.6341956221,11.859375
38.2933257757,55.9375,91.6053681924,91.6053681924
160.340127941,209.8125,195.162481583,201.75
31.3430355795,14.35546875,11.7199190787,10.517578125
91.6817990476,70.25,81.7781499152,89.5167690731
262.612955726,244.671875,230.096517438,240.9375
95.9475369034,53.6324462891,1.0,1.0
140.159025126,126.828125,66.3196869666,130.0
356.285805167,342.07421875,222.715279271,277.059570312
99.8205306172,72.4140625,62.5104186608,118.262798652
49.7991318728,29.583984375,39.7502583254,24.244140625
148.862178134,134.63671875,192.199001241,98.6875
61.0673049174,37.3828125,27.9778861635,26.890625
115.019534348,75.3203125,107.328004615,98.4836661
389.875028273,376.640625,496.919921151,267.3125
50.515625,25.3359375,35.2075500008,18.6875
127.875,89.25,158.963935745,93.8125
81.125,75.25,107.782288015,98.3873312695
354.6875,322.390625,381.265445686,237.75
51.390625,53.21875,46.7180469895,121.206765136
33.65625,19.0277099609,16.1639350105,13.125
216.75,217.6640625,155.746496893,235.75
83.625,86.4140625,119.520726727,83.96875
11.9674908804,16.4921875,30.6875446791,26.8559570312
44.4275894323,62.59375,90.7737463901,87.25
244.558243113,220.5625,161.83139893,212.71875
83.2009721974,70.0,50.312588617,65.353515625
1.0,15.0028686523,16.5079946982,22.4765625
36.7823812034,43.83984375,57.4434324554,51.0
174.442329286,218.03125,362.715682745,216.8125
65.0887618762,57.359375,111.043887874,78.78125
167.631917135,222.9921875,246.969680901,259.0625
53.7285368764,58.53125,72.2676930739,98.6479492188
10.1696746957,17.0126953125,19.4879389312,20.7421875
30.8759367041,43.1796875,88.556441037,68.25
39.6924703711,33.392578125,19.9063368345,25.609375
384.339353231,318.1171875,345.651951716,318.0
74.4059090722,69.5625,77.9741064017,111.625
142.653628533,116.324462891,128.535759233,127.875
348.686621548,349.296875,373.848048341,287.140625
121.217650032,121.828125,132.45893342,55.68359375
44.8707175963,37.8356933594,32.4389322449,28.544921875
80.9906781105,62.7109375,90.4194187776,94.09375
46.0133752723,24.53515625,7.69618500355,25.15625
45.9255241011,70.4140625,110.392651789,97.3125
300.825623466,306.6796875,331.531941564,305.0625
68.7417831525,79.5703125,42.851576768,77.34375
213.041037651,225.859375,237.820902258,258.796875
19.6605480765,16.890625,13.015625,27.25
