NextExisting1Value,NextExisting2Value,NextExisting3Value,NextExisting7Value,NextExisting14Value,NextExisting21Value,NextExisting30Value
,,36.0,40.4,42.2727272727,34.875,32.1304347826
,,195.0,215.2,234.545454545,232.5,238.565217391
,36.0,44.0,36.0,40.0833333333,33.9411764706,31.3333333333
,195.0,217.0,208.666666667,230.0,231.235294118,238.208333333
36.0,44.0,42.3333333333,38.1428571429,38.0769230769,33.9411764706,31.04
195.0,217.0,223.0,213.285714286,229.846153846,231.235294118,240.88
52.0,45.5,44.0,38.0,36.3846153846,32.7058823529,30.72
239.0,237.0,225.333333333,213.428571429,235.076923077,232.588235294,245.96
39.0,40.0,38.0,40.8571428571,35.0833333333,31.2941176471,29.48
235.0,218.5,214.0,226.571428571,234.75,236.705882353,245.96
202.0,203.5,194.333333333,235.571428571,235.75,236.8125,246.16
41.0,37.5,29.6666666667,44.2857142857,34.5833333333,30.8125,28.72
205.0,190.5,207.333333333,244.142857143,237.416666667,242.5625,247.6
34.0,24.0,33.0,42.4285714286,32.5,30.875,27.88
14.0,32.5,33.3333333333,43.8333333333,32.3636363636,30.8125,27.28
176.0,208.5,204.333333333,250.666666667,240.363636364,245.8125,248.84
241.0,218.5,256.0,251.333333333,243.545454545,249.9375,251.92
51.0,43.0,52.6666666667,44.1666666667,32.8181818182,31.125,27.36
35.0,53.5,56.6666666667,38.0,31.0,29.5,26.84
196.0,263.5,275.0,249.166666667,243.8,249.625,254.4
72.0,67.5,54.3333333333,34.5,29.0,28.125,26.44
331.0,314.5,297.0,260.333333333,246.0,251.75,257.48
63.0,45.5,45.5,27.0,24.6,25.125,24.5416666667
298.0,280.0,280.0,246.2,243.8,250.125,254.416666667
28.0,28.0,22.0,21.0,20.3333333333,22.9375,22.5416666667
262.0,262.0,221.0,236.0,237.777777778,251.625,252.625
,16.0,15.0,18.6,21.8888888889,22.5,22.625
,180.0,204.0,228.0,241.333333333,250.1875,252.125
16.0,15.0,14.6666666667,18.6,23.0,22.3529411765,22.32
180.0,204.0,223.666666667,228.0,242.9,249.588235294,252.08
228.0,245.5,245.5,234.2,249.1,253.0,254.72
14.0,14.0,14.0,19.2,23.3,22.5882352941,22.32
14.0,14.0,23.5,20.5,24.4,22.8823529412,22.68
263.0,263.0,255.0,235.75,249.9,253.470588235,257.6
,247.0,234.5,224.5,246.6,252.882352941,257.32
,33.0,24.5,20.75,24.3,23.0,23.24
33.0,24.5,24.5,22.2,24.2727272727,23.8333333333,23.0
247.0,234.5,234.5,241.4,251.909090909,255.666666667,257.5
16.0,16.0,17.5,19.5,23.8181818182,23.3888888889,22.7307692308
222.0,222.0,216.5,240.0,258.727272727,257.111111111,258.769230769
,211.0,211.0,258.0,260.272727273,259.176470588,258.653846154
,19.0,19.0,26.0,24.2727272727,23.8235294118,22.9230769231
211.0,211.0,214.5,257.8,258.583333333,258.944444444,259.259259259
19.0,19.0,17.0,27.4,23.9166666667,23.3333333333,22.7407407407
,218.0,263.5,264.0,260.833333333,261.111111111,261.666666667
,15.0,21.5,27.4,24.0,23.9444444444,22.4814814815
15.0,21.5,21.5,27.0,23.6153846154,23.4736842105,22.4814814815
218.0,263.5,263.5,259.333333333,258.923076923,260.578947368,261.666666667
309.0,309.0,301.5,261.333333333,261.615384615,262.052631579,264.740740741
28.0,28.0,35.0,26.6666666667,23.6923076923,23.5263157895,23.4814814815
