YearDayRange,MonthDayRange,WeekDayRange,MonthRange,YearRange
144,29,0,7,4
293,27,3,7,4
293,27,3,7,4
293,27,3,7,4
293,27,3,7,4
104,2,5,7,4
104,2,5,7,4
104,2,5,7,4
104,2,5,7,4
173,14,6,7,4
173,14,6,7,4
173,14,6,7,4
173,14,6,7,4
323,28,4,7,4
323,28,4,7,4
323,28,4,7,4
323,28,4,7,4
349,30,1,11,4
349,30,1,11,4
349,30,1,11,4
349,30,1,11,4
304,6,2,11,4
304,6,2,11,4
304,6,2,11,4
304,6,2,11,4
96,10,0,11,4
96,10,0,11,4
96,10,0,11,4
96,10,0,11,4
75,22,3,11,4
75,22,3,11,4
75,22,3,11,4
75,22,3,11,4
176,7,5,11,4
176,7,5,11,4
176,7,5,11,4
176,7,5,11,4
122,17,6,11,4
122,17,6,11,4
122,17,6,11,4
122,17,6,11,4
251,21,4,11,4
251,21,4,11,4
251,21,4,11,4
251,21,4,11,4
230,18,1,11,4
230,18,1,11,4
230,18,1,11,4
230,18,1,11,4
355,24,2,11,4
355,24,2,11,4
355,24,2,11,4
355,24,2,11,4
213,4,0,11,4
213,4,0,11,4
213,4,0,11,4
213,4,0,11,4
128,8,3,11,4
128,8,3,11,4
128,8,3,11,4
128,8,3,11,4
81,20,5,11,4
81,20,5,11,4
81,20,5,11,4
81,20,5,11,4
110,3,6,11,4
110,3,6,11,4
110,3,6,11,4
110,3,6,11,4
272,15,4,11,4
272,15,4,11,4
272,15,4,11,4
272,15,4,11,4
358,26,1,11,4
358,26,1,11,4
358,26,1,11,4
358,26,1,11,4
351,13,2,11,4
351,13,2,11,4
351,13,2,11,4
351,13,2,11,4
190,19,0,11,4
190,19,0,11,4
190,19,0,11,4
190,19,0,11,4
88,1,3,11,4
88,1,3,11,4
88,1,3,11,4
88,1,3,11,4
146,0,5,11,4
146,0,5,11,4
146,0,5,11,4
146,0,5,11,4
67,23,6,11,4
67,23,6,11,4
67,23,6,11,4
67,23,6,11,4
46,5,4,11,4
46,5,4,11,4
46,5,4,11,4
46,5,4,11,4
91,9,1,11,4
91,9,1,11,4
91,9,1,11,4
91,9,1,11,4
326,16,2,11,4
326,16,2,11,4
326,16,2,11,4
326,16,2,11,4
271,25,0,11,4
271,25,0,11,4
271,25,0,11,4
271,25,0,11,4
352,11,3,11,4
352,11,3,11,4
352,11,3,11,4
352,11,3,11,4
15,29,5,11,4
15,29,5,11,4
15,29,5,11,4
15,29,5,11,4
174,27,6,11,4
174,27,6,11,4
174,27,6,11,4
174,27,6,11,4
343,2,4,11,4
343,2,4,11,4
343,2,4,11,4
343,2,4,11,4
141,14,1,11,4
141,14,1,11,4
141,14,1,11,4
141,14,1,11,4
345,28,2,11,4
345,28,2,11,4
345,28,2,11,4
345,28,2,11,4
256,12,0,11,4
256,12,0,11,4
256,12,0,11,4
256,12,0,11,4
116,30,3,0,4
116,30,3,0,4
116,30,3,0,4
116,30,3,0,4
239,6,5,0,4
239,6,5,0,4
239,6,5,0,4
239,6,5,0,4
221,10,6,0,4
221,10,6,0,4
221,10,6,0,4
221,10,6,0,4
221,10,6,0,4
71,22,4,0,4
71,22,4,0,4
71,22,4,0,4
71,22,4,0,4
71,22,4,0,4
215,7,1,0,4
215,7,1,0,4
215,7,1,0,4
215,7,1,0,4
215,7,1,0,4
300,17,2,0,4
300,17,2,0,4
300,17,2,0,4
300,17,2,0,4
300,17,2,0,4
300,17,2,0,4
211,21,0,0,4
211,21,0,0,4
211,21,0,0,4
211,21,0,0,4
211,21,0,0,4
211,21,0,0,4
1,18,3,0,4
1,18,3,0,4
1,18,3,0,4
1,18,3,0,4
1,18,3,0,4
1,18,3,0,4
25,24,5,0,4
25,24,5,0,4
25,24,5,0,4
25,24,5,0,4
25,24,5,0,4
25,24,5,0,4
19,4,6,0,4
19,4,6,0,4
19,4,6,0,4
19,4,6,0,4
19,4,6,0,4
19,4,6,0,4
107,8,4,0,4
107,8,4,0,4
